time,flow,temp,salt
2010-10-13 00:00:00,    0.000000,    6.242266,    0.000000
2010-10-14 00:00:00,    0.000000,    6.237155,    0.000000
2010-10-15 00:00:00,    0.000000,    6.236841,    0.000000
2010-10-16 00:00:00,    0.000000,    6.239213,    0.000000
2010-10-17 00:00:00,    0.000000,    6.240625,    0.000000
2010-10-18 00:00:00,    0.000000,    6.244269,    0.000000
2010-10-19 00:00:00,    0.000000,    6.241516,    0.000000
2010-10-20 00:00:00,    0.000000,    6.238398,    0.000000
2010-10-21 00:00:00,    0.000000,    6.235836,    0.000000
2010-10-22 00:00:00,    0.000000,    6.240705,    0.000000
2010-10-23 00:00:00,    0.000000,    6.252746,    0.000000
2010-10-24 00:00:00,    0.000000,    6.261447,    0.000000
2010-10-25 00:00:00,    0.000000,    6.261722,    0.000000
2010-10-26 00:00:00,    0.000000,    6.257429,    0.000000
2010-10-27 00:00:00,    0.000000,    6.253636,    0.000000
2010-10-28 00:00:00,    0.000000,    6.281471,    0.000000
2010-10-29 00:00:00,    0.000000,    9.476301,    0.000000
2010-10-30 00:00:00,    0.000000,    8.864622,    0.000000
2010-10-31 00:00:00,    0.000000,    8.397023,    0.000000
2010-11-01 00:00:00,    0.000000,    8.085397,    0.000000
2010-11-02 00:00:00,    0.000000,    7.832851,    0.000000
2010-11-03 00:00:00,    0.000000,    7.628940,    0.000000
2010-11-04 00:00:00,    0.000000,    7.412464,    0.000000
2010-11-05 00:00:00,    0.000000,    7.212875,    0.000000
2010-11-06 00:00:00,    0.000000,    6.984488,    0.000000
2010-11-07 00:00:00,    0.000000,    6.637450,    0.000000
2010-11-08 00:00:00,    0.000000,    6.289336,    0.000000
2010-11-09 00:00:00,    0.000000,    6.042543,    0.000000
2010-11-10 00:00:00,    0.000000,    5.923053,    0.000000
2010-11-11 00:00:00,    0.000000,    5.877737,    0.000000
2010-11-12 00:00:00,    0.000000,    5.912606,    0.000000
2010-11-13 00:00:00,    0.000000,    5.979385,    0.000000
2010-11-14 00:00:00,    0.000000,    5.896065,    0.000000
2010-11-15 00:00:00,    0.000000,    5.690471,    0.000000
2010-11-16 00:00:00,    0.000000,    5.518045,    0.000000
2010-11-17 00:00:00,    0.000000,    5.336834,    0.000000
2010-11-18 00:00:00,    0.000000,    5.153293,    0.000000
2010-11-19 00:00:00,    0.000000,    4.986738,    0.000000
2010-11-20 00:00:00,    0.000000,    4.813078,    0.000000
2010-11-21 00:00:00,    0.000000,    4.511441,    0.000000
2010-11-22 00:00:00,    0.000000,    4.048507,    0.000000
2010-11-23 00:00:00,    0.000000,    3.667790,    0.000000
2010-11-24 00:00:00,    0.000000,    3.499595,    0.000000
2010-11-25 00:00:00,    0.000000,    3.288081,    0.000000
2010-11-26 00:00:00,    0.000000,    2.867172,    0.000000
2010-11-27 00:00:00,    0.000000,    2.455294,    0.000000
2010-11-28 00:00:00,    0.000000,    1.935113,    0.000000
2010-11-29 00:00:00,    0.000000,    1.411456,    0.000000
2010-11-30 00:00:00,    0.000000,    1.090955,    0.000000
2010-12-01 00:00:00,    0.000000,    0.868414,    0.000000
2010-12-02 00:00:00,    0.000000,    0.798523,    0.000000
2010-12-03 00:00:00,    0.000000,    0.619064,    0.000000
2010-12-04 00:00:00,    0.000000,    0.288538,    0.000000
2010-12-05 00:00:00,    0.000000,    0.307466,    0.000000
2010-12-06 00:00:00,    0.000000,    0.407251,    0.000000
2010-12-07 00:00:00,    0.000000,    0.554264,    0.000000
2010-12-08 00:00:00,    0.000000,    0.688184,    0.000000
2010-12-09 00:00:00,    0.000000,    0.875156,    0.000000
2010-12-10 00:00:00,    0.000000,    1.065976,    0.000000
2010-12-11 00:00:00,    0.000000,    1.174317,    0.000000
2010-12-12 00:00:00,    0.000000,    1.223063,    0.000000
2010-12-13 00:00:00,    0.000000,    1.250020,    0.000000
2010-12-14 00:00:00,    0.000000,    1.276403,    0.000000
2010-12-15 00:00:00,    0.000000,    1.302566,    0.000000
2010-12-16 00:00:00,    0.000000,    1.337181,    0.000000
2010-12-17 00:00:00,    0.000000,    1.407697,    0.000000
2010-12-18 00:00:00,    0.000000,    1.468474,    0.000000
2010-12-19 00:00:00,    0.000000,    1.493021,    0.000000
2010-12-20 00:00:00,    0.000000,    1.517243,    0.000000
2010-12-21 00:00:00,    0.000000,    1.541220,    0.000000
2010-12-22 00:00:00,    0.000000,    1.565054,    0.000000
2010-12-23 00:00:00,    0.000000,    1.588467,    0.000000
2010-12-24 00:00:00,    0.000000,    1.611542,    0.000000
2010-12-25 00:00:00,    0.000000,    1.634416,    0.000000
2010-12-26 00:00:00,    0.000000,    1.657046,    0.000000
2010-12-27 00:00:00,    0.000000,    1.679407,    0.000000
2010-12-28 00:00:00,    0.000000,    1.701532,    0.000000
2010-12-29 00:00:00,    0.000000,    1.723452,    0.000000
